Project_Number,Project_Title,Project_Description,OIA_AREA,Round,Approval_Date,Program,Lead_Research_Institution,City,Ontario_Commitment,Total_Project_Costs,Keyword,EXPENDITURE_TYPE,First_Name,Last_Name
10648,Density matrix renormalization group simulations of systems in condensed matter physics and quantum chemistry.,"Proposed infrastructure to consist of a computer cluster optimally suited for Density Matrix Renormalization Group (DMRG) based research.  The research consists of two primary components: (1) DMRG algorithm and code development, and (2) simulations of systems in condensed matter physics and quantum chemistry using the DMRG.",Development and creation of investigation spots,Small Infrastructure Fund - Round 004 - 2005 - June,24-Oct-05,Ontario Research Fund - Research Infrastructure,University of Windsor,Windsor,"$50,000","$175,708","density matrix renormalization group, numerical simulations, condensed matter physics, strongly correlated electrons, quantum chemistry, computer cluster",Capital,H.,Kim
10389,Adolescent Depressive Vulnerability through the Lens of Face-to-Face and Day-to-Day Social Interaction,"The proposed infrastructure, consisting of on-site and off-site assessment components (including computer, video recording and other ancillary A/V equipment), will facilitate research into the vulnerability factors that place adolescent at risk for depression.",Advanced health technologies,Small Infrastructure Fund - Round 003 - 2005 - February,22-Jul-05,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$59,422","$148,557","Depression, Adolescence, Cognitive Vulnerability Markers, Sociometric Vulnerability Markers, Integrative Models, Social Interaction, Time-Sampling Techniques",Capital,Marc,Fournier
10403,Autonomic Computing Laboratory,"Autonomic Computing Laboratory will enable research  aimed at improving management of large scale information technology systems, currently a major challenge for the computer and telecommunications industries.",Digital media and information and communications technologies,Small Infrastructure Fund - Round 004 - 2005 - June,24-Oct-05,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$292,551","$731,377","scaling, availability, adaptive, self-managing, self-optimizing, self-healing, intrusion, security, virtualization, autonomic, recovery",Capital,Cristiana,Amza
10449,Laboratory for Forest Genomics,"The proposed facility  will enable the examination of the genetic circuitry encoded within a tree genome and determine the factors that affect adaptation to ever-changing environment. The expected results (i.e. improvements in forest tree breeding, production and conservation) may have a profound effect on forestry, one of Canada's primary industries.",Bio-economy and clean technologies,Small Infrastructure Fund - Round 003 - 2005 - February,22-Jul-05,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$200,000","$500,000","Comparative Functional Genomics, Molecular Biology, Transcriptomics, Bioinformatics, Genetics, Forestry, Botany, rural, climate change",Capital,Malcolm,Campbell
203025,STOE IPDS Diffractometer - State-of-the-art Image Plate Single Crystal-X-ray Diffractometer for Investigation of Complex Inorganic Solid-state Materials,"Researchers at McMaster University intend to use a new scientific instrument to develop a variety of new, energy efficient materials for use in diverse areas such as microelectronics, refrigeration, air conditioning and automotive production. The machine, a STOE IPDS Diffractometer, will be the first of its kind in Canada. It manipulates x-rays to produce precise structural information for both simple and complex inorganic solid-state materials. Yurij Mozharivskyj will lead the research connected to the synthesis and characterization of a variety of novel materials with unique physical and structural responses.",Investigation of new sources,Small Infrastructure Fund - Round 007 - 2006 - June,21-Dec-06,Ontario Research Fund - Research Infrastructure,McMaster University,Hamilton,"$100,000","$261,369","magnetocaloric materials for magnetic refrigeration, temperature sensors, thermoelectric materials, ferromagnetic shape memory alloys, materials design and application",Capital,Yurij,Mozharivskyj
203200,Infrastructure to investigate the role of T lymphocytes in the pathogenesis of allergic asthma and the development of peptide-based vaccines for the treatment of allergic and autoimmune diseases.,"Allergic and autoimmune diseases, such as asthma and allergic rhinitis, affect one in every three people in the industrial world and impose major health and economic burdens on the lives of millions of Canadians. Current treatment approaches, which deal primarily with symptoms, not causes, are losing ground to these diseases. Dr. Mark Larché of McMaster University’s Faculty of Health Sciences proposes to use new equipment funded with an Ontario Research Fund infrastructure award to investigate fundamental questions of the immune response as it relates to allergic and autoimmune disease, and to manipulate this response in order to cure these chronic inflammatory diseases.  A major focus of the research program is the creation of anti-allergy vaccines which can lead to reductions in the costs of future health care and illne",Advanced health technologies,Small Infrastructure Fund - Round 006 - 2006 - February,31-Aug-06,Ontario Research Fund - Research Infrastructure,McMaster University,Hamilton,"$197,078","$492,695","immunology, immunomodulation, asthma, allergy, autoimmunity",Capital,Mark,Larch�
10484,"Malleable, Cost-effective, High-performance Computing Systems","A malleable, cost-effective, high-performance computing system will be researched and developed to provide a comprehensive hardware/software design automation platform, and self-adaptive and reliable computation solutions to a wide range of applications, including multimedia, telecommunications and bioinformatics.",Digital media and information and communications technologies,Small Infrastructure Fund - Round 003 - 2005 - February,22-Jul-05,Ontario Research Fund - Research Infrastructure,Queen's University,Kingston,"$100,000","$441,005","Reconfigurable architectures, self-adaptive computing, application-specifc computing, configurable processors, power and thermal constraints, multimedia, telecommunications, bioinformatics, design optimization, high-performance computing",Capital,Shang,Li
10515,Cold Regions Biogeochemical Research,The proposed research will investigate the biogeochemcial response of Canada's cold regions to global change by evaluating the influence of climate variability and anthropogenic activities on the chemistry of surface waters in alpine and arctic environments.,Development and creation of investigation spots,Small Infrastructure Fund - Round 004 - 2005 - June,24-Oct-05,Ontario Research Fund - Research Infrastructure,Queen's University,Kingston,"$128,000","$320,000","biogeochemistry, arctic and alpine environments, hydrology, hydrochemistry, nutrient dynamics, dissolved organic carbon dynamics, snow and ice chemistry, aqueous geochemistry, global change",Capital,Melissa,Lafreniere
10673,Sexual Health Research Facility,"The research infrastructure is required for the investigation of mechanisms involved in the development and maintenance of chronic vulvar pain (vulvodynia).  The multidisciplinary approach encompasses a combination of basic science and clinical research in an effort to identify new strategies for assessment, diagnosis, and treatment.",Advanced health technologies,Small Infrastructure Fund - Round 004 - 2005 - June,24-Oct-05,Ontario Research Fund - Research Infrastructure,Queen's University,Kingston,"$64,000","$160,000","sexual health laboratory, psychophysical measurement, blood flow imaging, quantitative sensory testing, vulvalgesiometer",Capital,Caroline,Pukall
10677,Role of Vagal Afferents in Nutrient Signalling in Health and Disease,"The objective of the research is to understand the mechanisms of food sensing by our bodies' nervous system (I.e. vagus nerve) in the gut and liver. It is hypothesised that the vagus nerve is ""desensitized"" in cases of obesity, and ""hypersensitive"" in gastrointestinal and liver disease. The ultimate goal is to discover new ways, either pharmacological or dietary, of manipulating vagal nerve signals to allow food intake that matches the needs of the individual.",Advanced health technologies,Small Infrastructure Fund - Round 004 - 2005 - June,24-Oct-05,Ontario Research Fund - Research Infrastructure,Queen's University,Kingston,"$125,000","$312,500","vagus nerve, satiety, food intake, obesity, neurophysiology, afferent nerve, ion channel, inflammation, patch clamp, electrophysiology",Capital,Michael,Beyak
11920,A Behavioral Gene Discovery Laboratory for Integrative Neuroscience,"Drug addiction is a major and costly health burden to Canadians. There is a need for renewed efforts to identify what happens in the nervous system that causes addiction, and to use this knowledge to develop therapies aimed at reversing and preventing addiction. Dr. Lehman’s research at the University of Western Ontario will identify the genes and proteins in the brain that relate to reward, motivation and addiction. The Ontario Research Fund infrastructure award will help provide equipment for a newly renovated laboratory space at the University of Western Ontario that will be the only one of its kind in Ontario.  Results from Dr. Lehman’s research has the potential for developing new treatments for addict",Advanced health technologies,Small Infrastructure Fund - Round 006 - 2006 - February,31-Aug-06,Ontario Research Fund - Research Infrastructure,The University of Western Ontario,London,"$353,562","$883,903","Neuroscience, motivation, reward, drug abuse, addiction, behavior, sex, circadian rhythms, limbic system",Capital,Michael,Lehman
12407,From DNA Repair to Neural Circuits: Mechanisms of Cellular and Neurological Dysfunction,"Researchers at the University of Western Ontario will conduct brain studies with the aim of providing better care for people suffering from intractable epilepsy. Michael Poulter and Caroline Schild-Poulter, will lead the studies which concentrate on genetic and other biological repair mechanisms that prevent the death of nerve cells. Insight into this function could have application towards treating diseases that degrade the nervous system such as Parkinson’s disease, epilepsy, and a number of psychiatric disorders. Dr. Michael Poulter is particularly interested in determining the factors that lead to intractable epilepsy. More than 300,000 Canadians have epilepsy, 30 per cent of them living without viable treatment",Advanced health technologies,Small Infrastructure Fund - Round 007 - 2006 - June,21-Dec-06,Ontario Research Fund - Research Infrastructure,The University of Western Ontario,London,"$211,226","$750,000","DNA repair, functional recovery, cell survival, imaging/electrophysiology, protein-protein interactions, ion channel",Capital,Michael,Poulter
9693,Intelligent Sensory Integrated Systems Laboratory,"The research objective is to investigate the design of intelligent sensory integrated microsystems as well as develop, experimentally charaterize, and demonstrate their prototypes. Intelligent sensory integrated systems comprise of artificial perception, cognition and action entirely on a single micro-scale physical substrate, and operate in a fully autonomous manner, without a need for a computer as we know it.",Digital media and information and communications technologies,Small Infrastructure Fund - Round 001 - 2004 - June,24-Feb-05,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$101,031","$252,576","Integrates circuits and systems, sensors, artificial perception, pattern recognition, learning and adaptation",Capital,Roman,Genov
9724,Facility for Analysis of Vertebrate Development,"This exciting program will address the fundamental question of how cell movements are coordinated during development to give rise to the complex adult body plan.The research will utilise the zebrafish as a model as it is recognized as an important model in understanding of human disease as knowledge of the physiology and genes of this species is directly applicable to humans. The project will entail an interesting combination of embryology, molecular genetics and cell biology and, uses the most-up-to-date methodology including time-lapse imaging to follow cell movement in embryos.",Advanced health technologies,Small Infrastructure Fund - Round 001 - 2004 - June,24-Feb-05,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$191,761","$479,403","morphogenesis, vertebrate, zebrafish, gene function, cell movements, gastrulation",Capital,Ashley,Bruce
